sale_id,sale_price
38171,1489300.945
38172,1489300.945
38173,1489300.945
38174,1489300.945
38175,1489300.945
38176,1489300.945
38177,1489300.945
38178,1489300.945
38179,1489300.945
38180,1489300.945
38181,1489300.945
38182,1489300.945
38183,1489300.945
38184,1489300.945
38185,1489300.945
38186,1489300.945
38187,1489300.945
38188,1489300.945
38189,1489300.945
38190,1489300.945
38191,1489300.945
38192,1489300.945
38193,1489300.945
38194,1489300.945
38195,1489300.945
38196,1489300.945
38197,1489300.945
38198,1489300.945
38199,1489300.945
38200,1489300.945
38201,1489300.945
38202,1489300.945
38203,1489300.945
38204,1489300.945
38205,1489300.945
38206,1489300.945
38207,1489300.945
38208,1489300.945
38209,1489300.945
38210,1489300.945
38211,1489300.945
38212,1489300.945
38213,1489300.945
38214,1489300.945
38215,1489300.945
38216,1489300.945
38217,1489300.945
38218,1489300.945
38219,1489300.945
38220,1489300.945
38221,1489300.945
38222,1489300.945
38223,1489300.945
38224,1489300.945
38225,1489300.945
38226,1489300.945
38227,1489300.945
38228,1489300.945
38229,1489300.945
38230,1489300.945
38231,1489300.945
38232,1489300.945
38233,1489300.945
38234,1489300.945
38235,1489300.945
38236,1489300.945
38237,1489300.945
38238,1489300.945
38239,1489300.945
38240,1489300.945
38241,1489300.945
38242,1489300.945
38243,1489300.945
38244,1489300.945
38245,1489300.945
38246,1489300.945
38247,1489300.945
38248,1489300.945
38249,1489300.945
38250,1489300.945
38251,1489300.945
38252,1489300.945
38253,1489300.945
38254,1489300.945
38255,1489300.945
38256,1489300.945
38257,1489300.945
38258,1489300.945
38259,1489300.945
38260,1489300.945
38261,1489300.945
38262,1489300.945
38263,1489300.945
38264,1489300.945
38265,1489300.945
38266,1489300.945
38267,1489300.945
38268,1489300.945
38269,1489300.945
38270,1489300.945
38271,1489300.945
38272,1489300.945
38273,1489300.945
38274,1489300.945
38275,1489300.945
38276,1489300.945
38277,1489300.945
38278,1489300.945
38279,1489300.945
38280,1489300.945
38281,1489300.945
38282,1489300.945
38283,1489300.945
38284,1489300.945
38285,1489300.945
38286,1489300.945
38287,1489300.945
38288,1489300.945
38289,1489300.945
38290,1489300.945
38291,1489300.945
38292,1489300.945
38293,1489300.945
38294,1489300.945
38295,1489300.945
38296,1489300.945
38297,1489300.945
38298,1489300.945
38299,1489300.945
38300,1489300.945
38301,1489300.945
38302,1489300.945
38303,1489300.945
38304,1489300.945
38305,1489300.945
38306,1489300.945
38307,1489300.945
38308,1489300.945
38309,1489300.945
38310,1489300.945
38311,1489300.945
38312,1489300.945
38313,1489300.945
38314,1489300.945
38315,1489300.945
38316,1489300.945
38317,1489300.945
38318,1489300.945
38319,1489300.945
38320,1489300.945
38321,1489300.945
38322,1489300.945
38323,1489300.945
38324,1489300.945
38325,1489300.945
38326,1489300.945
38327,1489300.945
38328,1489300.945
38329,1489300.945
38330,1489300.945
38331,1489300.945
38332,1489300.945
38333,1489300.945
38334,1489300.945
38335,1489300.945
38336,1489300.945
38337,1489300.945
38338,1489300.945
38339,1489300.945
38340,1489300.945
38341,1489300.945
38342,1489300.945
38343,1489300.945
38344,1489300.945
38345,1489300.945
38346,1489300.945
38347,1489300.945
38348,1489300.945
38349,1489300.945
38350,1489300.945
38351,1489300.945
38352,1489300.945
38353,1489300.945
38354,1489300.945
38355,1489300.945
38356,1489300.945
38357,1489300.945
38358,1489300.945
38359,1489300.945
38360,1489300.945
38361,1489300.945
38362,1489300.945
38363,1489300.945
38364,1489300.945
38365,1489300.945
38366,1489300.945
38367,1489300.945
38368,1489300.945
38369,1489300.945
38370,1489300.945
38371,1489300.945
38372,1489300.945
38373,1489300.945
38374,1489300.945
38375,1489300.945
38376,1489300.945
38377,1489300.945
38378,1489300.945
38379,1489300.945
38380,1489300.945
38381,1489300.945
38382,1489300.945
38383,1489300.945
38384,1489300.945
38385,1489300.945
38386,1489300.945
38387,1489300.945
38388,1489300.945
38389,1489300.945
38390,1489300.945
38391,1489300.945
38392,1489300.945
38393,1489300.945
38394,1489300.945
38395,1489300.945
38396,1489300.945
38397,1489300.945
38398,1489300.945
38399,1489300.945
38400,1489300.945
38401,1489300.945
38402,1489300.945
38403,1489300.945
38404,1489300.945
38405,1489300.945
38406,1489300.945
38407,1489300.945
38408,1489300.945
38409,1489300.945
38410,1489300.945
38411,1489300.945
38412,1489300.945
38413,1489300.945
38414,1489300.945
38415,1489300.945
38416,1489300.945
38417,1489300.945
38418,1489300.945
38419,1489300.945
38420,1489300.945
38421,1489300.945
38422,1489300.945
38423,1489300.945
38424,1489300.945
38425,1489300.945
38426,1489300.945
38427,1489300.945
38428,1489300.945
38429,1489300.945
38430,1489300.945
38431,1489300.945
38432,1489300.945
38433,1489300.945
38434,1489300.945
38435,1489300.945
38436,1489300.945
38437,1489300.945
38438,1489300.945
38439,1489300.945
38440,1489300.945
38441,1489300.945
38442,1489300.945
38443,1489300.945
38444,1489300.945
38445,1489300.945
38446,1489300.945
38447,1489300.945
38448,1489300.945
38449,1489300.945
38450,1489300.945
38451,1489300.945
38452,1489300.945
38453,1489300.945
38454,1489300.945
38455,1489300.945
38456,1489300.945
38457,1489300.945
38458,1489300.945
38459,1489300.945
38460,1489300.945
38461,1489300.945
38462,1489300.945
38463,1489300.945
38464,1489300.945
38465,1489300.945
38466,1489300.945
38467,1489300.945
38468,1489300.945
38469,1489300.945
38470,1489300.945
38471,1489300.945
38472,1489300.945
38473,1489300.945
38474,1489300.945
38475,1489300.945
38476,1489300.945
38477,1489300.945
38478,1489300.945
38479,1489300.945
38480,1489300.945
38481,1489300.945
38482,1489300.945
38483,1489300.945
38484,1489300.945
38485,1489300.945
38486,1489300.945
38487,1489300.945
38488,1489300.945
38489,1489300.945
38490,1489300.945
38491,1489300.945
38492,1489300.945
38493,1489300.945
38494,1489300.945
38495,1489300.945
38496,1489300.945
38497,1489300.945
38498,1489300.945
38499,1489300.945
38500,1489300.945
38501,1489300.945
38502,1489300.945
38503,1489300.945
38504,1489300.945
38505,1489300.945
38506,1489300.945
38507,1489300.945
38508,1489300.945
38509,1489300.945
38510,1489300.945
38511,1489300.945
38512,1489300.945
38513,1489300.945
38514,1489300.945
38515,1489300.945
38516,1489300.945
38517,1489300.945
38518,1489300.945
38519,1489300.945
38520,1489300.945
38521,1489300.945
38522,1489300.945
38523,1489300.945
38524,1489300.945
38525,1489300.945
38526,1489300.945
38527,1489300.945
38528,1489300.945
38529,1489300.945
38530,1489300.945
38531,1489300.945
38532,1489300.945
38533,1489300.945
38534,1489300.945
38535,1489300.945
38536,1489300.945
38537,1489300.945
38538,1489300.945
38539,1489300.945
38540,1489300.945
38541,1489300.945
38542,1489300.945
38543,1489300.945
38544,1489300.945
38545,1489300.945
38546,1489300.945
38547,1489300.945
38548,1489300.945
38549,1489300.945
38550,1489300.945
38551,1489300.945
38552,1489300.945
38553,1489300.945
38554,1489300.945
38555,1489300.945
38556,1489300.945
38557,1489300.945
